Nombre,Posicion,Precio
Diego Conde,POR,5617062
Luiz Junior,POR,6284379
José Gayà,DEF,13339717
Jonny Castro,DEF,2741063
Andrei Ratiu,DEF,14223313
Yuri Berchiche,DEF,10367480
Edu Expósito,CEN,3526023
Fermín López,CEN,14597007
Rubén García,CEN,11761271
Álex Baena,CEN,79668076
Pablo Torre,CEN,9643762
Alberto Moleiro,CEN,19266828
Ferrán Torres,DEL,19116982
Nicolas Pépé,DEL,12532353
Carlos Vicente,DEL,17846040
