Nombre,Posicion,Precio
Julen Aguirrezabala,POR,7189478
Marcos Alonso,DEF,11728463
Sergi Cardona,DEF,13521534
Juan Foyth,DEF,18405002
Mauro Arambarri,CEN,9000000
Iván Martín,CEN,10803063
Djibril Sow,CEN,3759689
Aimar Oroz,CEN,16217577
Yangel Herrera,CEN,12572140
Pepelu,CEN,12425544
Yéremi Pino,DEL,16082804
Diego López,DEL,12556608
Sergio Gómez,DEL,12452485
Giuliano Simeone,DEL,28018823
